Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0.0,146,360,1,Urban,true
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural,false
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360,1,Urban,true
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360,1,Urban,true
LP001008,Male,No,0,Graduate,No,6000,0.0,141,360,1,Urban,true
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360,1,Urban,true
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360,1,Urban,true
LP001014,Male,Yes,3,Graduate,No,3036,2504.0,158,360,0,Semiurban,false
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168,360,1,Urban,true
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,false
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70,360,1,Urban,true
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109,360,1,Urban,true
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200,360,1,Urban,true
LP001029,Male,No,0,Graduate,No,1853,2840.0,114,360,1,Rural,false
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17,120,1,Urban,true
LP001032,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,true
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100,240,1,Urban,true
LP001036,Female,No,0,Graduate,No,3510,0.0,76,360,0,Urban,false
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133,360,1,Rural,false
LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115,360,1,Urban,true
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104,360,0,Urban,false
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360,1,Urban,true
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116,360,0,Semiurban,false
LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112,360,0,Rural,false
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151,360,1,Semiurban,false
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191,360,1,Semiurban,true
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122,360,1,Semiurban,true
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban,true
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35,360,1,Urban,false
LP001087,Female,No,2,Graduate,No,3750,2083.0,120,360,1,Semiurban,true
LP001091,Male,Yes,1,Graduate,No,4166,3369.0,201,360,1,Urban,false
LP001095,Male,No,0,Graduate,No,3167,0.0,74,360,1,Urban,false
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106,360,1,Rural,false
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,true
LP001100,Male,No,3,Graduate,No,12500,3000.0,320,360,1,Rural,false
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,146,360,1,Urban,true
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100,360,0,Urban,false
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144,360,1,Semiurban,true
LP001114,Male,No,0,Graduate,No,4166,7210.0,184,360,1,Urban,true
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110,360,1,Semiurban,true
LP001119,Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban,false
LP001120,Male,No,0,Graduate,No,1800,1213.0,47,360,1,Urban,true
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75,360,1,Urban,true
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134,360,1,Semiurban,true
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96,360,1,Urban,true
LP001137,Female,No,0,Graduate,No,3410,0.0,88,360,1,Urban,true
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44,360,1,Urban,true
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,true
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120,360,0,Urban,false
LP001151,Female,No,0,Graduate,No,4000,2275.0,144,360,1,Semiurban,true
